,First,Last,Nickname,Ht,Wt,Reach,Stance,Win,Loss,Draw,Total Fights,Wt_numeric,Htcm
863,Julian,Marquez,The Cuban Missle Crisis,"6' 2""",185 lbs.,"75.0""",Orthodox,7,2,0,9,185,187.96
864,Jamie,Pickett,,"6' 2""",185 lbs.,"80.0""",Southpaw,7,2,0,9,185,187.96
865,Luc,Bondole,,"6' 2""",205 lbs.,--,,5,2,2,9,205,187.96
866,Roger,Narvaez,Silverback,"6' 3""",185 lbs.,"79.0""",Southpaw,7,2,0,9,185,190.5
867,Tyson,Pedro,,"6' 3""",205 lbs.,"79.0""",Orthodox,7,2,0,9,205,190.5
868,Naoya,Ogawa,,"6' 4""",255 lbs.,--,Orthodox,7,2,0,9,265,193.04
869,Josh,Parisian,,"6' 4""",265 lbs.,--,Orthodox,7,2,0,9,265,193.04
870,Rex,Richards,,"6' 5""",265 lbs.,--,,7,2,0,9,265,195.57999999999998
871,Jack,May,The Outlaw,"6' 8""",255 lbs.,"79.0""",Switch,7,2,0,9,265,203.2
874,Mark,Vorgeas,,"5' 10""",135 lbs.,--,,5,3,1,9,135,177.8
875,Dale,Hartt,,"5' 10""",155 lbs.,"69.0""",Orthodox,6,3,0,9,155,177.8
876,Hayder,Hassan,Hulk,"5' 10""",170 lbs.,"70.0""",,6,3,0,9,170,177.8
877,Antonio,Dos Santos,Junior Alpha,"5' 10""",185 lbs.,"72.0""",Orthodox,6,3,0,9,185,177.8
878,Luke,Stewart,,"5' 11""",170 lbs.,--,Orthodox,6,3,0,9,170,180.34
879,Pearl,Gonzalez,,"5' 4""",115 lbs.,"68.0""",Orthodox,6,3,0,9,115,162.56
880,Donavon,Frelow,,"5' 7""",135 lbs.,--,Orthodox,6,3,0,9,135,170.18
881,Nick,Pace,,"5' 7""",135 lbs.,"68.0""",Orthodox,6,3,0,9,135,170.18
882,Brendan,O'Reilly,Badger,"5' 7""",170 lbs.,"69.0""",Orthodox,6,3,0,9,170,170.18
883,Ashlee,Evans-Smith,Rebel Girl,"5' 8""",125 lbs.,"67.0""",Orthodox,6,3,0,9,125,172.72
884,Byron,Bloodworth,,"5' 8""",135 lbs.,"69.0""",Orthodox,6,3,0,9,135,172.72
885,Mark,Eddiva,,"5' 8""",145 lbs.,"68.0""",Orthodox,6,3,0,9,145,172.72
886,Jordan,Bailey,,"5' 9""",145 lbs.,--,,6,3,0,9,145,175.26
887,Hugh,Pulley,,"6' 0""",155 lbs.,--,,6,3,0,9,155,182.88
888,Kris,McCray,Savage,"6' 0""",170 lbs.,"76.0""",Orthodox,6,3,0,9,170,182.88
889,Andy,Uhrich,,"6' 0""",170 lbs.,--,,6,3,0,9,170,182.88
890,Yuri,Villefort,,"6' 0""",170 lbs.,"73.0""",Orthodox,6,3,0,9,170,182.88
891,Andre,Gusmao,,"6' 0""",205 lbs.,--,Orthodox,6,3,0,9,205,182.88
892,Hugo,Duarte,,"6' 0""",240 lbs.,--,Orthodox,6,3,0,9,265,182.88
893,Josh,Bumgarner,,"6' 1""",170 lbs.,--,,6,3,0,9,170,185.42
894,Jalin,Turner,The Tarantula,"6' 3""",155 lbs.,"77.0""",Southpaw,6,3,0,9,155,190.5
